user_parameters.immune_apoptosis_rate,user_parameters.immune_migration_bias,user_parameters.immune_kill_rate,user_parameters.immune_attachment_lifetime,user_parameters.immune_attachment_rate,user_parameters.oncoprotein_threshold
0.0002645875,0.6,0.2575,50,0.38125,0.325
0.0002645875,0.6,0.38125,50,1,0.55
0.0002645875,0.6,0.62875,50,0.7525,0.55
0.0002645875,0.6,0.7525,20,0.87625,0.325
0.0002645875,0.6,0.7525,60,0.38125,0.325
0.0002645875,0.6,0.7525,70,0.62875,0.4375
0.0002645875,0.6,1,20,0.38125,0.325
0.0002645875,0.7,0.13375,70,0.87625,0.4375
0.0002645875,0.7,0.2575,90,0.505,0.4375
0.0002645875,0.7,0.38125,80,0.505,0.325
0.0002645875,0.7,0.505,20,0.62875,0.325
0.0002645875,0.7,0.505,70,0.62875,0.55
0.0002645875,0.7,0.62875,60,1,0.325
0.0002645875,0.7,0.62875,80,0.62875,0.55
0.0002645875,0.7,0.7525,90,1,0.325
0.0002645875,0.7,1,30,0.7525,0.2125
0.0002645875,0.8,0.13375,50,0.62875,0.1
0.0002645875,0.8,0.2575,10,0.7525,0.2125
0.0002645875,0.8,0.505,10,0.87625,0.2125
0.0002645875,0.8,0.505,60,0.38125,0.4375
0.0002645875,0.8,0.505,80,1,0.55
0.0002645875,0.8,0.7525,70,1,0.55
0.0002645875,0.8,0.7525,80,0.38125,0.2125
0.0002645875,0.8,0.87625,40,0.7525,0.55
0.0002645875,0.9,0.13375,90,0.62875,0.1
0.0002645875,0.9,0.2575,40,0.62875,0.4375
0.0002645875,0.9,0.505,70,0.7525,0.1
0.0002645875,0.9,0.505,80,0.38125,0.1
0.0002645875,0.9,0.62875,20,0.505,0.4375
0.0002645875,0.9,0.62875,60,1,0.4375
0.0002645875,0.9,0.7525,30,0.505,0.1
0.0002645875,0.9,0.7525,30,0.62875,0.55
0.0002645875,0.9,0.87625,70,0.505,0.325
0.00035047,0.5,0.505,50,1,0.1
0.00035047,0.5,0.505,90,1,0.1
0.00035047,0.5,1,90,1,0.1
0.00035047,0.6,0.505,10,1,0.1
0.00035047,0.7,0.7525,20,0.87625,0.2125
0.00035047,0.7,0.7525,30,1,0.2125
0.00035047,0.7,1,90,0.87625,0.325
0.00035047,0.8,0.2575,20,1,0.325
0.00035047,0.8,0.62875,70,0.7525,0.2125
0.00035047,0.8,0.87625,50,1,0.4375
0.00035047,0.8,1,30,0.87625,0.325
0.00035047,0.9,0.505,10,1,0.1
0.00035047,0.9,0.505,50,0.505,0.1
0.00035047,0.9,0.505,50,1,0.1
0.00035047,0.9,0.505,50,1,0.55
0.00035047,0.9,0.505,90,0.505,0.1
0.00035047,0.9,0.505,90,1,0.1
0.00035047,0.9,0.505,90,1,0.55
0.00035047,0.9,0.62875,50,0.87625,0.2125
0.00035047,0.9,1,10,0.505,0.1
0.00035047,0.9,1,10,1,0.1
0.00035047,0.9,1,20,0.7525,0.2125
0.00035047,0.9,1,50,0.505,0.1
0.00035047,0.9,1,50,1,0.1
0.00035047,0.9,1,50,1,0.55
0.00035047,0.9,1,90,0.505,0.1
0.00035047,0.9,1,90,1,0.1
0.00035047,0.9,1,90,1,0.55
0.0004363525,0.6,0.505,10,1,0.1
0.0004363525,0.6,1,80,0.87625,0.2125
0.0004363525,0.7,0.62875,70,0.62875,0.1
0.0004363525,0.7,0.7525,20,0.87625,0.2125
0.0004363525,0.7,0.87625,60,1,0.1
0.0004363525,0.8,0.2575,70,0.7525,0.1
0.0004363525,0.8,0.2575,90,1,0.325
0.0004363525,0.8,0.505,20,1,0.325
0.0004363525,0.8,0.505,50,0.7525,0.1
0.0004363525,0.8,0.62875,50,0.62875,0.2125
0.0004363525,0.9,0.62875,50,0.62875,0.1
0.0004363525,0.9,0.7525,20,0.87625,0.1
0.0004363525,0.9,1,80,1,0.325
